F1, F2, F3, F4, F5, F6, F7, F8, F9, F10, F11, F12, F13, F14, F15, F16, F17, F18, F19, F20, F21, F22, F23, F24, F25, F26, Class
35, 0, 13, 32, 44, 29, 30, 11, 30, 0, 46, 42, 9, 35, 0, 29, 31, 25, 47, 34, 0, 52, 17, 0, 19, 0, DNA
37, 0, 4, 15, 28, 11, 23, 8, 21, 0, 15, 25, 16, 14, 0, 16, 10, 25, 17, 16, 0, 24, 4, 0, 12, 0, DNA
58, 0, 9, 82, 108, 47, 51, 22, 63, 0, 119, 124, 20, 61, 0, 41, 46, 61, 69, 49, 0, 47, 13, 0, 39, 0, DNA
5, 0, 9, 1, 2, 5, 7, 3, 15, 0, 5, 10, 3, 12, 0, 6, 6, 6, 10, 15, 0, 8, 1, 0, 4, 0, DNA
19, 0, 3, 8, 8, 9, 8, 4, 21, 0, 16, 15, 5, 11, 0, 9, 6, 12, 14, 8, 0, 13, 0, 0, 9, 0, DNA
4, 0, 2, 3, 11, 5, 3, 4, 12, 0, 14, 10, 4, 14, 0, 3, 5, 8, 10, 6, 0, 5, 1, 0, 2, 0, DNA
41, 0, 5, 17, 29, 10, 37, 14, 21, 0, 21, 27, 14, 23, 0, 16, 30, 22, 48, 23, 0, 19, 2, 0, 11, 0, DNA
12, 0, 6, 20, 29, 21, 16, 3, 24, 0, 31, 21, 8, 17, 0, 7, 8, 13, 14, 5, 0, 18, 3, 0, 16, 0, DNA
30, 0, 11, 29, 38, 25, 31, 17, 8, 0, 21, 38, 15, 11, 0, 71, 35, 28, 36, 15, 0, 22, 4, 0, 25, 0, DNA
22, 0, 11, 27, 37, 25, 23, 16, 13, 0, 22, 27, 19, 19, 0, 54, 30, 29, 39, 15, 0, 20, 4, 0, 25, 0, DNA
53, 0, 6, 32, 58, 15, 31, 22, 29, 0, 44, 77, 20, 42, 0, 58, 75, 35, 60, 35, 0, 45, 7, 0, 19, 0, DNA
30, 0, 13, 24, 33, 19, 35, 10, 21, 0, 31, 36, 14, 21, 0, 32, 23, 25, 43, 33, 0, 34, 6, 0, 17, 0, DNA
78, 0, 9, 73, 91, 27, 61, 21, 55, 0, 159, 84, 28, 43, 0, 49, 42, 49, 132, 57, 0, 52, 8, 0, 30, 0, DNA
38, 0, 15, 48, 57, 36, 36, 19, 30, 0, 63, 71, 23, 34, 0, 32, 29, 27, 47, 31, 0, 34, 12, 0, 26, 0, DNA
26, 0, 3, 19, 15, 8, 35, 9, 19, 0, 14, 22, 6, 12, 0, 39, 19, 26, 45, 26, 0, 29, 2, 0, 17, 0, DNA
16, 0, 3, 23, 20, 12, 12, 6, 26, 0, 36, 23, 9, 17, 0, 8, 4, 11, 24, 11, 0, 19, 6, 0, 19, 0, DNA
33, 0, 5, 36, 32, 17, 29, 13, 17, 0, 27, 59, 12, 15, 0, 53, 23, 19, 70, 25, 0, 33, 3, 0, 8, 0, DNA
42, 0, 19, 27, 27, 18, 51, 11, 22, 0, 22, 45, 14, 22, 0, 24, 29, 37, 52, 8, 0, 24, 2, 0, 12, 0, DNA
35, 0, 19, 18, 27, 17, 46, 9, 20, 0, 15, 33, 7, 15, 0, 42, 16, 32, 31, 21, 0, 33, 8, 0, 5, 0, DNA
179, 0, 26, 59, 49, 14, 121, 47, 44, 0, 38, 172, 12, 27, 0, 101, 127, 72, 67, 78, 0, 131, 5, 0, 4, 0, DNA
32, 0, 8, 30, 42, 26, 30, 11, 21, 0, 35, 56, 16, 16, 0, 20, 21, 36, 35, 25, 0, 32, 7, 0, 11, 0, DNA
22, 0, 3, 18, 16, 14, 20, 7, 16, 0, 10, 31, 8, 5, 0, 17, 18, 23, 12, 19, 0, 12, 4, 0, 14, 0, DNA
16, 0, 0, 6, 13, 4, 15, 3, 2, 0, 8, 6, 4, 3, 0, 3, 4, 11, 16, 3, 0, 6, 2, 0, 6, 0, DNA
